name_product,product_link,price_sale,price_original,discount,sold,rating,image_link
Exsport Go Active Mini Sling Bag -  Red,https://www.tokopedia.com/exsportstore/exsport-go-active-mini-sling-bag-red-1730908658559780088?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp198.550,Rp209.000,5%,1 terjual,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/34ca9020-9b2d-4e5e-b8e9-ffb31969ff10.jpg
Exsport Basic Cubical Sling Pouch -  Light Yellow,https://www.tokopedia.com/exsportstore/exsport-basic-cubical-sling-pouch-light-yellow-1730908657596138744?extParam=whid%3D17822218%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/fc09f049-a3fa-4e07-be5b-87fc31d0b6ae.jpg
Exsport Basic Cubical Sling Pouch -  Emerald Green,https://www.tokopedia.com/exsportstore/exsport-basic-cubical-sling-pouch-emerald-green-1730908654385661176?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/25546281-bac1-43c1-9796-4e4d581fdf81.jpg
Exsport Basic Cubical Sling Pouch -  Purple,https://www.tokopedia.com/exsportstore/exsport-basic-cubical-sling-pouch-purple-1730908652311381240?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/5e20eea1-0413-40d1-807e-b2a6fd922161.jpg
Exsport Basic Cubical Sling Pouch -  Red,https://www.tokopedia.com/exsportstore/exsport-basic-cubical-sling-pouch-red-1730908625292264696?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp170.050,Rp179.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/f7fe1a22-ed4b-4234-9d11-33ee882d6bd6.jpg
Exsport Triangle Coin Pouch - Navy,https://www.tokopedia.com/exsportstore/exsport-triangle-coin-pouch-navy-1730882054179489016?extParam=src%3Dshop%26whid%3D14219516&aff_unique_id=&channel=others&chain_key=,Rp75.050,Rp79.000,5%,2 terjual,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/18/c2019665-44a9-478c-84b0-e6c814bee67f.jpg
Exsport Bimble Coin Pouch - Light Purple,https://www.tokopedia.com/exsportstore/exsport-bimble-coin-pouch-light-purple-1730881588399408376?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp79.000,,,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/18/fa30bc0f-e38e-46bf-819a-f7c6cc0705b9.jpg
Exsport Bimble Coin Pouch -  Emerald Green,https://www.tokopedia.com/exsportstore/exsport-bimble-coin-pouch-emerald-green-1730865454850147576?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp75.050,Rp79.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/14/12c97a8d-fb9b-49b4-9bb7-2f6745a0bbb4.jpg
Tas Exsport Bimble Coin Pouch -  Light Pink,https://www.tokopedia.com/exsportstore/tas-exsport-bimble-coin-pouch-light-pink-1730865451504338168?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp75.050,Rp79.000,5%,,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/14/98d34705-bb28-4f09-82b3-78a94007e3db.jpg
Tas Exsport Bimble Coin Pouch -  Red,https://www.tokopedia.com/exsportstore/tas-exsport-bimble-coin-pouch-red-1730865449369306360?extParam=src%3Dshop%26whid%3D17822218&aff_unique_id=&channel=others&chain_key=,Rp75.050,Rp79.000,5%,1 terjual,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/14/13b2c162-a1f0-49d3-9055-047d17ff9a09.jpg
